Dataset = yelp, batch_size = 32768
Layer_1 229571 | Layer_2 539548 | Layer_3 668498
Epoch 00071 | Loss 0.2238 | Accuracy 0.9213| f1_micro 0.3315 | f1_macro 0.0792 | Time : 1.6850 | Loop_Time : 0.2173 | Model_Time : 1.4675 | x_y_time : 0.0003 | pred_time : 0.6880 | backward_time : 0.6855 | optim_time : 0.0156 
Epoch 00072 | Loss 0.2246 | Accuracy 0.9220| f1_micro 0.3602 | f1_macro 0.0916 | Time : 1.6782 | Loop_Time : 0.2141 | Model_Time : 1.4640 | x_y_time : 0.0002 | pred_time : 0.6864 | backward_time : 0.6847 | optim_time : 0.0156 
Epoch 00073 | Loss 0.2246 | Accuracy 0.9218| f1_micro 0.3510 | f1_macro 0.0871 | Time : 1.6848 | Loop_Time : 0.2179 | Model_Time : 1.4668 | x_y_time : 0.0002 | pred_time : 0.6879 | backward_time : 0.6850 | optim_time : 0.0156 
Epoch 00074 | Loss 0.2242 | Accuracy 0.9228| f1_micro 0.4009 | f1_macro 0.1148 | Time : 1.6846 | Loop_Time : 0.2156 | Model_Time : 1.4688 | x_y_time : 0.0003 | pred_time : 0.6886 | backward_time : 0.6868 | optim_time : 0.0156 
Epoch 00075 | Loss 0.2236 | Accuracy 0.9216| f1_micro 0.3402 | f1_macro 0.0831 | Time : 1.6850 | Loop_Time : 0.2169 | Model_Time : 1.4680 | x_y_time : 0.0002 | pred_time : 0.6900 | backward_time : 0.6856 | optim_time : 0.0166 
Epoch 00076 | Loss 0.2236 | Accuracy 0.9213| f1_micro 0.3303 | f1_macro 0.0788 | Time : 1.6852 | Loop_Time : 0.2173 | Model_Time : 1.4677 | x_y_time : 0.0002 | pred_time : 0.6896 | backward_time : 0.6858 | optim_time : 0.0159 
Epoch 00077 | Loss 0.2233 | Accuracy 0.9214| f1_micro 0.3349 | f1_macro 0.0819 | Time : 1.6818 | Loop_Time : 0.2176 | Model_Time : 1.4641 | x_y_time : 0.0003 | pred_time : 0.6862 | backward_time : 0.6842 | optim_time : 0.0159 
Epoch 00078 | Loss 0.2234 | Accuracy 0.9216| f1_micro 0.3383 | f1_macro 0.0830 | Time : 1.6865 | Loop_Time : 0.2165 | Model_Time : 1.4699 | x_y_time : 0.0002 | pred_time : 0.6905 | backward_time : 0.6862 | optim_time : 0.0162 
Epoch 00079 | Loss 0.2234 | Accuracy 0.9220| f1_micro 0.3526 | f1_macro 0.0889 | Time : 1.6849 | Loop_Time : 0.2164 | Model_Time : 1.4683 | x_y_time : 0.0002 | pred_time : 0.6903 | backward_time : 0.6849 | optim_time : 0.0159 
Epoch 00080 | Loss 0.2234 | Accuracy 0.9208| f1_micro 0.3149 | f1_macro 0.0728 | Time : 1.6843 | Loop_Time : 0.2164 | Model_Time : 1.4677 | x_y_time : 0.0002 | pred_time : 0.6883 | backward_time : 0.6864 | optim_time : 0.0159 
Epoch 00081 | Loss 0.2236 | Accuracy 0.9220| f1_micro 0.3551 | f1_macro 0.0909 | Time : 1.6714 | Loop_Time : 0.2038 | Model_Time : 1.4675 | x_y_time : 0.0002 | pred_time : 0.6883 | backward_time : 0.6860 | optim_time : 0.0143 
Epoch 00082 | Loss 0.2235 | Accuracy 0.9228| f1_micro 0.4028 | f1_macro 0.1175 | Time : 1.6663 | Loop_Time : 0.2001 | Model_Time : 1.4661 | x_y_time : 0.0002 | pred_time : 0.6890 | backward_time : 0.6862 | optim_time : 0.0140 
Epoch 00083 | Loss 0.2229 | Accuracy 0.9223| f1_micro 0.3658 | f1_macro 0.0964 | Time : 1.6716 | Loop_Time : 0.2036 | Model_Time : 1.4679 | x_y_time : 0.0002 | pred_time : 0.6893 | backward_time : 0.6861 | optim_time : 0.0141 
Epoch 00084 | Loss 0.2226 | Accuracy 0.9217| f1_micro 0.3411 | f1_macro 0.0850 | Time : 1.6773 | Loop_Time : 0.2065 | Model_Time : 1.4707 | x_y_time : 0.0002 | pred_time : 0.6921 | backward_time : 0.6863 | optim_time : 0.0156 
Epoch 00085 | Loss 0.2251 | Accuracy 0.9208| f1_micro 0.3176 | f1_macro 0.0730 | Time : 1.6728 | Loop_Time : 0.2027 | Model_Time : 1.4700 | x_y_time : 0.0002 | pred_time : 0.6899 | backward_time : 0.6887 | optim_time : 0.0157 
Epoch 00086 | Loss 0.2236 | Accuracy 0.9226| f1_micro 0.3832 | f1_macro 0.1040 | Time : 1.6801 | Loop_Time : 0.2099 | Model_Time : 1.4700 | x_y_time : 0.0002 | pred_time : 0.6899 | backward_time : 0.6871 | optim_time : 0.0166 
Epoch 00087 | Loss 0.2225 | Accuracy 0.9219| f1_micro 0.3491 | f1_macro 0.0875 | Time : 1.6762 | Loop_Time : 0.2044 | Model_Time : 1.4717 | x_y_time : 0.0002 | pred_time : 0.6911 | backward_time : 0.6893 | optim_time : 0.0143 
Epoch 00088 | Loss 0.2226 | Accuracy 0.9226| f1_micro 0.3754 | f1_macro 0.1019 | Time : 1.6739 | Loop_Time : 0.2043 | Model_Time : 1.4695 | x_y_time : 0.0002 | pred_time : 0.6901 | backward_time : 0.6879 | optim_time : 0.0150 
Epoch 00089 | Loss 0.2224 | Accuracy 0.9228| f1_micro 0.3833 | f1_macro 0.1073 | Time : 1.6677 | Loop_Time : 0.1979 | Model_Time : 1.4697 | x_y_time : 0.0002 | pred_time : 0.6901 | backward_time : 0.6875 | optim_time : 0.0138 
Epoch 00090 | Loss 0.2226 | Accuracy 0.9223| f1_micro 0.3615 | f1_macro 0.0953 | Time : 1.6810 | Loop_Time : 0.2101 | Model_Time : 1.4707 | x_y_time : 0.0002 | pred_time : 0.6896 | backward_time : 0.6878 | optim_time : 0.0166 
